1631876199.212,909.0,904.0
1631876199.515,906.0,905.0
1631876199.814,905.0,905.0
1631876200.113,906.0,905.0
1631876200.416,905.0,905.0
1631876200.715,905.0,905.0
1631876201.014,904.0,905.0
1631876201.317,906.0,905.0
1631876201.616,905.0,905.0
1631876201.915,905.0,905.0
1631876202.214,905.0,905.0
1631876202.517,905.0,905.0
1631876202.817,905.0,905.0
1631876203.116,904.0,905.0
1631876203.418,905.0,904.0
1631876203.718,905.0,904.0
1631876204.017,904.0,904.0
1631876204.32,905.0,904.0
1631876204.619,905.0,904.0
1631876204.918,905.0,904.0
1631876205.221,905.0,904.0
1631876205.52,901.0,904.0
1631876205.819,904.0,904.0
1631876206.118,906.0,904.0
1631876206.421,905.0,904.0
1631876206.72,904.0,904.0
1631876207.019,905.0,904.0
1631876207.322,907.0,904.0
1631876207.621,905.0,904.0
1631876207.92,907.0,904.0
1631876208.223,906.0,904.0
1631876208.522,906.0,905.0
1631876208.821,906.0,905.0
1631876209.124,905.0,905.0
1631876209.423,905.0,905.0
1631876209.722,904.0,905.0
1631876210.021,909.0,905.0
1631876210.324,905.0,906.0
1631876210.623,909.0,905.0
1631876210.922,905.0,906.0
1631876211.225,906.0,906.0
1631876211.524,906.0,906.0
1631876211.823,906.0,906.0
1631876212.126,906.0,906.0
1631876212.425,906.0,906.0
1631876212.724,905.0,906.0
1631876213.027,905.0,906.0
1631876213.326,906.0,905.0
1631876213.625,905.0,906.0
1631876213.924,906.0,905.0
1631876214.227,906.0,905.0
1631876214.526,906.0,905.0
1631876214.826,905.0,905.0
1631876215.128,905.0,905.0
1631876215.428,905.0,905.0
1631876215.727,905.0,905.0
1631876216.029,904.0,905.0
1631876216.329,905.0,905.0
1631876216.628,906.0,905.0
1631876216.931,905.0,905.0
1631876217.23,905.0,905.0
1631876217.529,905.0,905.0
1631876217.828,905.0,905.0
1631876218.131,904.0,905.0
1631876218.43,905.0,904.0
1631876218.729,906.0,904.0
1631876219.032,904.0,905.0
1631876219.331,905.0,905.0
1631876219.63,905.0,905.0
1631876219.933,906.0,904.0
1631876220.232,905.0,905.0
1631876220.531,905.0,905.0
1631876220.834,905.0,905.0
1631876221.133,905.0,905.0
1631876221.432,905.0,905.0
1631876221.731,906.0,905.0
1631876222.034,906.0,905.0
1631876222.333,905.0,905.0
1631876222.632,905.0,905.0
